epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8186,1.03345,1.55383,1.34417,0.42318,0.64944,0.60891,0.35515,1.47533,1.89227,1.79191,0.000414931,0.000414931,0.000414931
2,163.013,1.09744,1.18313,1.39413,0.60011,0.59442,0.58551,0.34118,1.50501,1.5635,1.59991,0.000815132,0.000815132,0.000815132
3,241.808,1.11461,1.18697,1.41208,0.54218,0.50824,0.50954,0.29444,1.55627,1.65227,1.63869,0.00119883,0.00119883,0.00119883
4,319.369,1.08276,1.10437,1.38792,0.66553,0.58602,0.65633,0.41749,1.39625,1.37952,1.53053,0.00117575,0.00117575,0.00117575
5,398.643,1.0174,0.99491,1.35465,0.68671,0.70156,0.74989,0.47176,1.2776,1.17651,1.46356,0.001151,0.001151,0.001151
6,476.196,1.0065,0.97052,1.32854,0.7971,0.71232,0.79167,0.50401,1.27971,1.07916,1.43585,0.00112625,0.00112625,0.00112625
7,554.813,0.95987,0.90068,1.30277,0.79879,0.75196,0.81259,0.53808,1.18562,0.97218,1.34689,0.0011015,0.0011015,0.0011015
8,632.334,0.95352,0.86116,1.28286,0.74949,0.7634,0.79951,0.51552,1.26807,1.02107,1.52282,0.00107675,0.00107675,0.00107675
9,709.29,0.90496,0.79996,1.25855,0.75809,0.73259,0.79787,0.52503,1.18392,1.01562,1.35862,0.001052,0.001052,0.001052
10,787.927,0.90854,0.79319,1.25167,0.80282,0.7756,0.83569,0.54383,1.19916,0.92332,1.39244,0.00102725,0.00102725,0.00102725
11,865.118,0.87137,0.75791,1.24941,0.81399,0.78711,0.84113,0.57541,1.12838,0.83291,1.29245,0.0010025,0.0010025,0.0010025
12,942.752,0.87903,0.7526,1.2446,0.77598,0.81952,0.84447,0.58005,1.11977,0.83605,1.29481,0.00097775,0.00097775,0.00097775
13,1021.57,0.84249,0.7153,1.23073,0.78664,0.83085,0.85268,0.58204,1.14398,0.79462,1.35011,0.000953,0.000953,0.000953
14,1098.99,0.86257,0.71887,1.23339,0.85736,0.79883,0.87375,0.61016,1.07892,0.78392,1.26562,0.00092825,0.00092825,0.00092825
15,1177.06,0.82469,0.68114,1.21562,0.85236,0.80129,0.88089,0.61331,1.07561,0.78767,1.26324,0.0009035,0.0009035,0.0009035
16,1254.84,0.83118,0.67702,1.2154,0.80445,0.84015,0.88612,0.61971,1.06135,0.72749,1.25572,0.00087875,0.00087875,0.00087875
17,1333.27,0.82537,0.67933,1.20735,0.8543,0.87016,0.90362,0.62862,1.06509,0.68669,1.26509,0.000854,0.000854,0.000854
18,1411.49,0.8199,0.65422,1.20201,0.88734,0.85799,0.91406,0.63891,1.04601,0.69562,1.24022,0.00082925,0.00082925,0.00082925
19,1489.89,0.80092,0.63817,1.19202,0.88112,0.86477,0.91437,0.64412,1.01725,0.68093,1.23037,0.0008045,0.0008045,0.0008045
20,1571.23,0.78353,0.62419,1.18072,0.87426,0.86196,0.90915,0.63357,1.02357,0.67145,1.224,0.00077975,0.00077975,0.00077975
21,1650.76,0.78719,0.62294,1.18588,0.85951,0.87411,0.91343,0.64313,1.02874,0.65553,1.22561,0.000755,0.000755,0.000755
22,1731.12,0.78061,0.60751,1.17704,0.88168,0.88078,0.91966,0.65646,1.03777,0.6629,1.24092,0.00073025,0.00073025,0.00073025
23,1809.58,0.76736,0.58858,1.17796,0.8944,0.88029,0.9247,0.65705,0.9988,0.64866,1.2134,0.0007055,0.0007055,0.0007055
24,1889.04,0.76091,0.58556,1.17276,0.89165,0.87197,0.91821,0.65864,0.99587,0.64156,1.20357,0.00068075,0.00068075,0.00068075
25,1966.5,0.75095,0.57047,1.15864,0.90158,0.86738,0.92019,0.64613,1.02773,0.65086,1.23474,0.000656,0.000656,0.000656
26,2043.44,0.74473,0.57248,1.16195,0.88874,0.89016,0.92635,0.67391,0.98095,0.61565,1.18357,0.00063125,0.00063125,0.00063125
27,2121.45,0.73691,0.5596,1.15159,0.88162,0.88302,0.92174,0.66609,0.97607,0.62057,1.19439,0.0006065,0.0006065,0.0006065
28,2198.74,0.72865,0.54684,1.14569,0.90718,0.89782,0.93697,0.66791,1.01298,0.59217,1.2106,0.00058175,0.00058175,0.00058175
